dt_abertura;Year;Month;Day
05/07/1942;1942;jul;5
06/07/1942;1942;jul;6
07/07/1942;1942;jul;7
08/07/1942;1942;jul;8
09/07/1942;1942;jul;9
10/07/1942;1942;jul;10
11/07/1942;1942;jul;11
12/07/1942;1942;jul;12
13/07/1942;1942;jul;13
14/07/1942;1942;jul;14
15/07/1942;1942;jul;15
16/07/1942;1942;jul;16
17/07/1942;1942;jul;17
18/07/1942;1942;jul;18
19/07/1942;1942;jul;19
20/07/1942;1942;jul;20
21/07/1942;1942;jul;21
22/07/1942;1942;jul;22
23/07/1942;1942;jul;23
24/07/1942;1942;jul;24
25/07/1942;1942;jul;25
26/07/1942;1942;jul;26
27/07/1942;1942;jul;27
28/07/1942;1942;jul;28
29/07/1942;1942;jul;29
30/07/1942;1942;jul;30
31/07/1942;1942;jul;31
01/08/1942;1942;ago;1
02/08/1942;1942;ago;2
03/08/1942;1942;ago;3
04/08/1942;1942;ago;4
05/08/1942;1942;ago;5
06/08/1942;1942;ago;6
07/08/1942;1942;ago;7
08/08/1942;1942;ago;8
09/08/1942;1942;ago;9
10/08/1942;1942;ago;10
11/08/1942;1942;ago;11
12/08/1942;1942;ago;12
13/08/1942;1942;ago;13
14/08/1942;1942;ago;14
15/08/1942;1942;ago;15
16/08/1942;1942;ago;16
17/08/1942;1942;ago;17
18/08/1942;1942;ago;18
19/08/1942;1942;ago;19
20/08/1942;1942;ago;20
21/08/1942;1942;ago;21
22/08/1942;1942;ago;22
23/08/1942;1942;ago;23
24/08/1942;1942;ago;24
25/08/1942;1942;ago;25
26/08/1942;1942;ago;26
27/08/1942;1942;ago;27
28/08/1942;1942;ago;28
29/08/1942;1942;ago;29
30/08/1942;1942;ago;30
31/08/1942;1942;ago;31
01/09/1942;1942;set;1
02/09/1942;1942;set;2
03/09/1942;1942;set;3
04/09/1942;1942;set;4
05/09/1942;1942;set;5
06/09/1942;1942;set;6
07/09/1942;1942;set;7
08/09/1942;1942;set;8
09/09/1942;1942;set;9
10/09/1942;1942;set;10
11/09/1942;1942;set;11
12/09/1942;1942;set;12
13/09/1942;1942;set;13
14/09/1942;1942;set;14
15/09/1942;1942;set;15
16/09/1942;1942;set;16
17/09/1942;1942;set;17
18/09/1942;1942;set;18
19/09/1942;1942;set;19
20/09/1942;1942;set;20
21/09/1942;1942;set;21
22/09/1942;1942;set;22
23/09/1942;1942;set;23
24/09/1942;1942;set;24
25/09/1942;1942;set;25
26/09/1942;1942;set;26
27/09/1942;1942;set;27
28/09/1942;1942;set;28
29/09/1942;1942;set;29
30/09/1942;1942;set;30
01/10/1942;1942;out;1
02/10/1942;1942;out;2
03/10/1942;1942;out;3
04/10/1942;1942;out;4
05/10/1942;1942;out;5
06/10/1942;1942;out;6
07/10/1942;1942;out;7
08/10/1942;1942;out;8
09/10/1942;1942;out;9
10/10/1942;1942;out;10
11/10/1942;1942;out;11
12/10/1942;1942;out;12
13/10/1942;1942;out;13
14/10/1942;1942;out;14
15/10/1942;1942;out;15
16/10/1942;1942;out;16
17/10/1942;1942;out;17
18/10/1942;1942;out;18
19/10/1942;1942;out;19
20/10/1942;1942;out;20
21/10/1942;1942;out;21
22/10/1942;1942;out;22
23/10/1942;1942;out;23
24/10/1942;1942;out;24
25/10/1942;1942;out;25
26/10/1942;1942;out;26
27/10/1942;1942;out;27
28/10/1942;1942;out;28
29/10/1942;1942;out;29
30/10/1942;1942;out;30
31/10/1942;1942;out;31
01/11/1942;1942;nov;1
02/11/1942;1942;nov;2
03/11/1942;1942;nov;3
04/11/1942;1942;nov;4
05/11/1942;1942;nov;5
06/11/1942;1942;nov;6
07/11/1942;1942;nov;7
08/11/1942;1942;nov;8
09/11/1942;1942;nov;9
10/11/1942;1942;nov;10
11/11/1942;1942;nov;11
12/11/1942;1942;nov;12
13/11/1942;1942;nov;13
14/11/1942;1942;nov;14
15/11/1942;1942;nov;15
16/11/1942;1942;nov;16
17/11/1942;1942;nov;17
18/11/1942;1942;nov;18
19/11/1942;1942;nov;19
20/11/1942;1942;nov;20
21/11/1942;1942;nov;21
22/11/1942;1942;nov;22
23/11/1942;1942;nov;23
24/11/1942;1942;nov;24
25/11/1942;1942;nov;25
26/11/1942;1942;nov;26
27/11/1942;1942;nov;27
28/11/1942;1942;nov;28
29/11/1942;1942;nov;29
30/11/1942;1942;nov;30
01/12/1942;1942;dez;1
02/12/1942;1942;dez;2
03/12/1942;1942;dez;3
04/12/1942;1942;dez;4
05/12/1942;1942;dez;5
06/12/1942;1942;dez;6
07/12/1942;1942;dez;7
08/12/1942;1942;dez;8
09/12/1942;1942;dez;9
10/12/1942;1942;dez;10
11/12/1942;1942;dez;11
12/12/1942;1942;dez;12
13/12/1942;1942;dez;13
14/12/1942;1942;dez;14
15/12/1942;1942;dez;15
16/12/1942;1942;dez;16
17/12/1942;1942;dez;17
18/12/1942;1942;dez;18
19/12/1942;1942;dez;19
